NA06984_NA06984 NA06984_NA06984	NA12347_NA12347 NA12347_NA12347	9	37654930 72338610	0 0	832	6.118748	cM	0	0	0
NA11919_NA11919 NA11919_NA11919	NA11920_NA11920 NA11920_NA11920	1	120506108 152473262	0 0	701	12.489028999999999	cM	0	0	0
NA11919_NA11919 NA11919_NA11919	NA11920_NA11920 NA11920_NA11920	20	38872419 43030866	0 0	1279	6.573338000000001	cM	0	0	0
NA11919_NA11919 NA11919_NA11919	NA12763_NA12763 NA12763_NA12763	18	3419463 6755963	0 0	1083	10.940249	cM	0	0	0
NA11919_NA11919 NA11919_NA11919	NA12776_NA12776 NA12776_NA12776	1	119328610 151511268	0 0	761	13.090302000000001	cM	0	0	0
NA11919_NA11919 NA11919_NA11919	NA12777_NA12777 NA12777_NA12777	12	10336755 12814818	0 0	637	5.114174	cM	0	0	0
NA11919_NA11919 NA11919_NA11919	NA12815_NA12815 NA12815_NA12815	2	107877236 112438202	0 0	700	5.580826	cM	0	0	0
NA11919_NA11919 NA11919_NA11919	NA12815_NA12815 NA12815_NA12815	10	8512382 11688233	0 0	1213	5.552975	cM	0	0	0
NA11919_NA11919 NA11919_NA11919	NA12815_NA12815 NA12815_NA12815	17	39105361 47254911	0 0	1277	5.698593	cM	0	0	0
NA11919_NA11919 NA11919_NA11919	NA12827_NA12827 NA12827_NA12827	17	70320846 73583027	0 0	895	9.070114	cM	0	0	0
NA06984_NA06984 NA06984_NA06984	NA12383_NA12383 NA12383_NA12383	12	77069205 81861791	0 0	1146	5.178307	cM	0	0	0
NA06984_NA06984 NA06984_NA06984	NA12400_NA12400 NA12400_NA12400	1	172248219 179652861	0 0	1664	5.754364	cM	0	0	0
NA06984_NA06984 NA06984_NA06984	NA12413_NA12413 NA12413_NA12413	4	7490895 9910663	0 0	511	6.16939	cM	0	0	0
NA11920_NA11920 NA11920_NA11920	NA12750_NA12750 NA12750_NA12750	2	86841775 99277992	0 0	508	5.201912	cM	0	0	0
NA06984_NA06984 NA06984_NA06984	NA11992_NA11992 NA11992_NA11992	12	4310278 11119315	0 0	1278	13.233989000000001	cM	0	0	0
NA11920_NA11920 NA11920_NA11920	NA12762_NA12762 NA12762_NA12762	13	26675403 29842382	0 0	1023	6.3796349999999995	cM	0	0	0
NA06984_NA06984 NA06984_NA06984	NA11893_NA11893 NA11893_NA11893	11	118300240 121770113	0 0	958	5.446022	cM	0	0	0
NA06984_NA06984 NA06984_NA06984	NA12155_NA12155 NA12155_NA12155	7	138084513 140970382	0 0	576	5.187744	cM	0	0	0
NA11920_NA11920 NA11920_NA11920	NA12828_NA12828 NA12828_NA12828	1	3044181 4722431	0 0	511	5.154743	cM	0	0	0
NA06984_NA06984 NA06984_NA06984	NA12272_NA12272 NA12272_NA12272	10	48529987 51571131	0 0	639	5.254196	cM	0	0	0
NA11920_NA11920 NA11920_NA11920	NA12842_NA12842 NA12842_NA12842	9	38459763 73001489	0 0	767	5.155033	cM	0	0	0
NA06984_NA06984 NA06984_NA06984	NA12003_NA12003 NA12003_NA12003	21	15448599 18403520	0 0	767	8.084354	cM	0	0	0
NA06984_NA06984 NA06984_NA06984	NA12005_NA12005 NA12005_NA12005	13	29171703 32800816	0 0	1280	7.088381	cM	0	0	0
NA11930_NA11930 NA11930_NA11930	NA11933_NA11933 NA11933_NA11933	10	18866868 24542519	0 0	1532	5.736557	cM	0	0	0
NA06984_NA06984 NA06984_NA06984	NA12287_NA12287 NA12287_NA12287	18	19876381 26805185	0 0	1727	7.761489999999999	cM	0	0	0
NA06984_NA06984 NA06984_NA06984	NA12287_NA12287 NA12287_NA12287	20	1557954 3772913	0 0	703	5.057265	cM	0	0	0
NA06984_NA06984 NA06984_NA06984	NA11919_NA11919 NA11919_NA11919	12	5758620 10809949	0 0	576	9.127535	cM	0	0	0
NA11930_NA11930 NA11930_NA11930	NA12776_NA12776 NA12776_NA12776	7	8086668 10121066	0 0	830	5.089098	cM	0	0	0
NA11930_NA11930 NA11930_NA11930	NA12815_NA12815 NA12815_NA12815	6	9181516 11938797	0 0	894	5.228941000000001	cM	0	0	0
NA06984_NA06984 NA06984_NA06984	NA12777_NA12777 NA12777_NA12777	8	63016193 70575886	0 0	1594	6.21508	cM	0	0	0
NA11933_NA11933 NA11933_NA11933	NA12751_NA12751 NA12751_NA12751	11	198510 3364517	0 0	500	7.341937	cM	0	0	0
NA06984_NA06984 NA06984_NA06984	NA12873_NA12873 NA12873_NA12873	14	21338459 26434405	0 0	1531	12.123985000000001	cM	0	0	0
NA12347_NA12347 NA12347_NA12347	NA12342_NA12342 NA12342_NA12342	12	108624278 114569370	0 0	1023	5.060852	cM	0	0	0
