Individual ID
NA06984
NA12344
NA06986
NA07014
NA12335
NA07340
NA10846
NA06994
NA06985
NA10850
NA07345
NA10852
NA10859
NA10853
NA10855
NA12375
NA12386
NA12413
NA12707
NA10860
NA10863
NA10864
NA10830
NA10835
NA10836
NA10838
NA10840
NA12282
NA10842
NA10845
NA11932
NA12739
NA12752
NA12766
NA12801
NA12817
NA12832
NA12864
NA12877
