NA06984
NA12347
NA12348
NA06986
NA07037
NA07051
NA12340
NA12341
NA12342
NA12144
NA06994
NA07000
NA07056
NA06985
NA12058
NA07347
NA07357
NA12043
NA12044
NA12046
NA11881
NA11840
NA11843
NA11829
NA11830
NA11831
NA11832
NA12383
NA12489
NA12546
NA12399
NA12400
NA12413
NA12414
NA12716
NA12717
NA12718
NA11992
NA11994
NA11995
NA12234
NA11892
NA11893
NA11894
NA12154
NA12155
NA12156
NA12249
NA12272
NA12273
NA12275
NA12003
NA12004
NA12005
NA12006
NA12286
NA12287
NA12282
NA12283
NA11918
NA11919
NA11920
NA11930
NA11933
NA12748
NA12749
NA12750
NA12751
NA12761
NA12762
NA12763
NA12775
NA12776
NA12777
NA12778
NA12812
NA12813
NA12814
NA12815
NA12827
NA12828
NA12829
NA12830
NA12842
NA12843
NA12872
NA12873
NA12874
NA12889
NA12890
