HG00096
HG00097
HG00098
HG00099
HG00100
HG00101
HG00102
HG00103
HG00104
HG00105
HG00106
HG00107
HG00108
HG00109
HG00110
HG00111
HG00112
HG00113
HG00114
HG00115
HG00116
HG00117
HG00118
HG00119
HG00120
HG00121
HG00122
HG00123
HG00124
HG00125
HG00126
HG00127
HG00128
HG00129
HG00130
HG00131
HG00132
HG00133
HG00134
HG00135
HG00136
HG00137
HG00138
HG00139
HG00140
HG00141
HG00142
HG00143
HG00144
HG00145
HG00146
HG00147
HG00148
HG00149
HG00150
HG00151
HG00152
HG00153
HG00154
HG00155
HG00156
HG00157
HG00158
HG00159
HG00160
HG00171
HG00173
HG00174
HG00176
HG00177
HG00178
HG00179
HG00180
HG00181
HG00182
HG00183
HG00185
HG00186
HG00187
HG00188
HG00189
HG00190
HG00231
HG00232
HG00233
HG00234
HG00235
HG00236
HG00237
HG00238
HG00239
HG00240
HG00242
HG00243
HG00244
HG00245
HG00246
HG00247
HG00248
HG00249
HG00250
HG00251
HG00252
HG00253
HG00254
HG00255
HG00256
HG00257
HG00258
HG00259
HG00260
HG00261
HG00262
HG00263
HG00264
HG00265
HG00266
HG00267
HG00268
HG00269
HG00270
HG00271
HG00272
HG00273
HG00274
HG00275
HG00276
HG00277
HG00278
HG00280
HG00281
HG00282
HG00284
HG00285
HG00306
HG00308
HG00309
HG00310
HG00311
HG00312
HG00313
HG00315
HG00318
HG00319
HG00320
HG00321
HG00323
HG00324
HG00325
HG00326
HG00327
HG00328
HG00329
HG00330
HG00331
HG00332
HG00334
HG00335
HG00336
HG00337
HG00338
HG00339
HG00341
HG00342
HG00343
HG00344
HG00345
HG00346
HG00349
HG00350
HG00351
HG00353
HG00355
HG00356
HG00357
HG00358
HG00359
HG00360
HG00361
HG00362
HG00364
HG00365
HG00366
HG00367
HG00368
HG00369
HG00371
HG00372
HG00373
HG00375
HG00376
HG00377
HG00378
HG00379
HG00380
HG00381
HG00382
HG00383
HG00384
HG00403
HG00404
HG00405
HG00406
HG00407
HG00408
HG00418
HG00419
HG00420
HG00421
HG00422
HG00423
HG00427
HG00428
HG00429
HG00436
HG00437
HG00438
HG00442
HG00443
HG00444
HG00445
HG00446
HG00447
HG00448
HG00449
HG00450
HG00451
HG00452
HG00453
HG00457
HG00458
HG00459
HG00463
HG00464
HG00465
HG00472
HG00473
HG00474
HG00475
HG00476
HG00477
HG00478
HG00479
HG00480
HG00500
HG00501
HG00502
HG00512
HG00513
HG00514
HG00524
HG00525
HG00526
HG00530
HG00531
HG00532
HG00533
HG00534
HG00535
HG00536
HG00537
HG00538
HG00542
HG00543
HG00544
HG00551
HG00552
HG00553
HG00554
HG00555
HG00556
HG00557
HG00558
HG00559
HG00560
HG00561
HG00565
HG00566
HG00567
HG00577
HG00578
HG00579
HG00580
HG00581
HG00582
HG00583
HG00584
HG00585
HG00589
HG00590
HG00591
HG00592
HG00593
HG00594
HG00595
HG00596
HG00597
HG00607
HG00608
HG00609
HG00610
HG00611
HG00612
HG00613
HG00614
HG00615
HG00619
HG00620
HG00621
HG00625
HG00626
HG00627
HG00628
HG00629
HG00630
HG00634
HG00635
HG00636
HG00637
HG00638
HG00639
HG00640
HG00641
HG00642
HG00650
HG00651
HG00652
HG00653
HG00654
HG00655
HG00656
HG00657
HG00658
HG00662
HG00663
HG00664
HG00671
HG00672
HG00673
HG00683
HG00684
HG00685
HG00689
HG00690
HG00691
HG00692
HG00693
HG00694
HG00698
HG00699
HG00700
HG00701
HG00702
HG00703
HG00704
HG00705
HG00706
HG00707
HG00708
HG00709
HG00716
HG00717
HG00718
HG00731
HG00732
HG00733
HG00734
HG00735
HG00736
HG00737
HG00738
HG00739
HG00740
HG00741
HG00759
HG00766
HG00844
HG00851
HG00864
HG00866
HG00867
HG00879
HG00881
HG00956
HG00978
HG00982
HG00983
HG01028
HG01029
HG01031
HG01046
HG01047
HG01048
HG01049
HG01050
HG01051
HG01052
HG01053
HG01054
HG01055
HG01056
HG01060
HG01061
HG01062
HG01066
HG01067
HG01068
HG01069
HG01070
HG01071
HG01072
HG01073
HG01074
HG01075
HG01079
HG01080
HG01081
HG01082
HG01083
HG01084
HG01085
HG01086
HG01087
HG01094
HG01095
HG01096
HG01097
HG01098
HG01099
HG01100
HG01101
HG01102
HG01103
HG01104
HG01105
HG01106
HG01107
HG01108
HG01109
HG01110
HG01111
HG01112
HG01113
HG01114
HG01124
HG01125
HG01126
HG01133
HG01134
HG01135
HG01136
HG01137
HG01138
HG01139
HG01140
HG01141
HG01148
HG01149
HG01150
HG01167
HG01168
HG01169
HG01170
HG01171
HG01172
HG01173
HG01174
HG01175
HG01176
HG01177
HG01178
HG01181
HG01182
HG01183
HG01184
HG01187
HG01188
HG01189
HG01190
HG01191
HG01192
HG01197
HG01198
HG01199
HG01204
HG01205
HG01206
HG01241
HG01242
HG01243
HG01247
HG01248
HG01249
HG01250
HG01251
HG01252
HG01253
HG01254
HG01255
HG01256
HG01257
HG01258
HG01259
HG01260
HG01261
HG01271
HG01272
HG01273
HG01274
HG01275
HG01276
HG01277
HG01278
HG01279
HG01315
HG01318
HG01321
HG01330
HG01334
HG01341
HG01342
HG01343
HG01344
HG01345
HG01346
HG01347
HG01348
HG01349
HG01350
HG01351
HG01352
HG01353
HG01354
HG01355
HG01356
HG01357
HG01358
HG01359
HG01360
HG01361
HG01365
HG01366
HG01367
HG01374
HG01375
HG01376
HG01377
HG01378
HG01379
HG01383
HG01384
HG01385
HG01389
HG01390
HG01391
HG01401
HG01437
HG01438
HG01439
HG01440
HG01441
HG01442
HG01455
HG01456
HG01457
HG01461
HG01462
HG01463
HG01464
HG01465
HG01466
HG01488
HG01489
HG01490
HG01491
HG01492
HG01493
HG01494
HG01495
HG01496
HG01497
HG01498
HG01499
HG01500
HG01501
HG01502
HG01503
HG01504
HG01505
HG01506
HG01507
HG01508
HG01509
HG01510
HG01511
HG01512
HG01513
HG01514
HG01515
HG01516
HG01517
HG01518
HG01519
HG01520
HG01521
HG01522
HG01523
HG01524
HG01525
HG01526
HG01527
HG01528
HG01529
HG01530
HG01531
HG01532
HG01536
HG01537
HG01538
HG01550
HG01551
HG01552
HG01555
HG01561
HG01565
HG01566
HG01567
HG01571
HG01572
HG01573
HG01577
HG01578
HG01579
HG01595
HG01596
HG01597
HG01598
HG01599
HG01600
HG01601
HG01602
HG01603
HG01604
HG01605
HG01606
HG01607
HG01608
HG01609
HG01610
HG01611
HG01612
HG01613
HG01614
HG01615
HG01616
HG01617
HG01618
HG01619
HG01620
HG01621
HG01622
HG01623
HG01624
HG01625
HG01626
HG01627
HG01628
HG01629
HG01630
HG01631
HG01632
HG01633
HG01667
HG01668
HG01669
HG01670
HG01671
HG01672
HG01673
HG01674
HG01675
HG01676
HG01677
HG01678
HG01679
HG01680
HG01681
HG01682
HG01683
HG01684
HG01685
HG01686
HG01687
HG01694
HG01695
HG01696
HG01697
HG01698
HG01699
HG01700
HG01701
HG01702
HG01703
HG01704
HG01705
HG01706
HG01707
HG01708
HG01709
HG01710
HG01711
HG01746
HG01747
HG01748
HG01755
HG01756
HG01757
HG01761
HG01762
HG01763
HG01770
HG01771
HG01772
HG01773
HG01774
HG01775
HG01776
HG01777
HG01778
HG01779
HG01780
HG01781
HG01782
HG01783
HG01784
HG01789
HG01790
HG01791
HG01794
HG01795
HG01796
HG01797
HG01798
HG01799
HG01800
HG01801
HG01802
HG01804
HG01805
HG01806
HG01807
HG01808
HG01809
HG01810
HG01811
HG01812
HG01813
HG01815
HG01816
HG01817
HG01840
HG01841
HG01842
HG01843
HG01844
HG01845
HG01846
HG01847
HG01848
HG01849
HG01850
HG01851
HG01852
HG01853
HG01855
HG01857
HG01858
HG01859
HG01860
HG01861
HG01862
HG01863
HG01864
HG01865
HG01866
HG01867
HG01868
HG01869
HG01870
HG01871
HG01872
HG01873
HG01874
HG01878
HG01879
HG01880
HG01881
HG01882
HG01883
HG01884
HG01885
HG01886
HG01887
HG01888
HG01889
HG01890
HG01891
HG01892
HG01893
HG01894
HG01895
HG01896
HG01897
HG01898
HG01912
HG01914
HG01915
HG01916
HG01917
HG01918
HG01919
HG01920
HG01921
HG01922
HG01923
HG01924
HG01925
HG01926
HG01927
HG01928
HG01932
HG01933
HG01934
HG01935
HG01936
HG01937
HG01938
HG01939
HG01940
HG01941
HG01942
HG01943
HG01944
HG01945
HG01946
HG01947
HG01948
HG01949
HG01950
HG01951
HG01952
HG01953
HG01954
HG01955
HG01956
HG01958
HG01959
HG01960
HG01967
HG01968
HG01969
HG01970
HG01971
HG01972
HG01973
HG01974
HG01975
HG01976
HG01977
HG01978
HG01979
HG01980
HG01981
HG01982
HG01983
HG01984
HG01985
HG01986
HG01987
HG01988
HG01989
HG01990
HG01991
HG01992
HG01993
HG01997
HG01998
HG02002
HG02003
HG02004
HG02008
HG02009
HG02010
HG02011
HG02012
HG02013
HG02014
HG02015
HG02016
HG02017
HG02018
HG02019
HG02020
HG02021
HG02023
HG02024
HG02025
HG02026
HG02027
HG02028
HG02029
HG02030
HG02031
HG02032
HG02035
HG02040
HG02046
HG02047
HG02048
HG02049
HG02050
HG02051
HG02052
HG02053
HG02054
HG02055
HG02056
HG02057
HG02058
HG02059
HG02060
HG02061
HG02064
HG02067
HG02068
HG02069
HG02070
HG02071
HG02072
HG02073
HG02074
HG02075
HG02076
HG02077
HG02078
HG02079
HG02080
HG02081
HG02082
HG02083
HG02084
HG02085
HG02086
HG02087
HG02088
HG02089
HG02090
HG02091
HG02095
HG02104
HG02105
HG02106
HG02107
HG02108
HG02111
HG02113
HG02116
HG02120
HG02121
HG02122
HG02126
HG02127
HG02128
HG02129
HG02130
HG02131
HG02132
HG02133
HG02134
HG02135
HG02136
HG02137
HG02138
HG02139
HG02140
HG02141
HG02142
HG02143
HG02144
HG02145
HG02146
HG02147
HG02148
HG02151
HG02152
HG02153
HG02154
HG02155
HG02156
HG02164
HG02165
HG02166
HG02178
HG02179
HG02180
HG02181
HG02182
HG02184
HG02185
HG02186
HG02187
HG02188
HG02189
HG02190
HG02215
HG02220
HG02221
HG02222
HG02223
HG02224
HG02225
HG02229
HG02230
HG02231
HG02232
HG02233
HG02234
HG02235
HG02236
HG02237
HG02238
HG02239
HG02240
HG02250
HG02255
HG02256
HG02257
HG02258
HG02259
HG02260
HG02261
HG02271
HG02272
HG02273
HG02277
HG02278
HG02279
HG02280
HG02281
HG02282
HG02283
HG02284
HG02285
HG02286
HG02287
HG02291
HG02292
HG02293
HG02298
HG02299
HG02300
HG02301
HG02302
HG02303
HG02307
HG02308
HG02309
HG02314
HG02315
HG02316
HG02317
HG02318
HG02321
HG02322
HG02323
HG02325
HG02330
HG02332
HG02334
HG02337
HG02339
HG02343
HG02351
HG02353
HG02355
HG02356
HG02360
HG02363
HG02364
HG02367
HG02371
HG02372
HG02373
HG02374
HG02375
HG02377
HG02379
HG02380
HG02381
HG02382
HG02383
HG02384
HG02385
HG02386
HG02387
HG02388
HG02389
HG02390
HG02391
HG02392
HG02394
HG02395
HG02396
HG02397
HG02398
HG02399
HG02401
HG02402
HG02406
HG02407
HG02409
HG02419
HG02420
HG02427
HG02428
HG02429
HG02433
HG02436
HG02442
HG02445
HG02449
HG02450
HG02451
HG02470
HG02471
HG02478
HG02479
HG02480
HG02484
HG02485
HG02486
HG02489
HG02496
HG02497
HG02508
HG02511
HG02512
HG02513
HG02514
HG02521
HG02522
HG02523
HG02537
NA06984
NA06985
NA06986
NA06989
NA06991
NA06993
NA06994
NA06995
NA06997
NA07000
NA07014
NA07019
NA07022
NA07029
NA07031
NA07034
NA07037
NA07045
NA07048
NA07051
NA07055
NA07056
NA07340
NA07345
NA07346
NA07347
NA07348
NA07349
NA07357
NA07435
NA10830
NA10831
NA10835
NA10836
NA10837
NA10838
NA10839
NA10840
NA10842
NA10843
NA10845
NA10846
NA10847
NA10850
NA10851
NA10852
NA10853
NA10854
NA10855
NA10856
NA10857
NA10859
NA10860
NA10861
NA10863
NA10864
NA10865
NA11829
NA11830
NA11831
NA11832
NA11839
NA11840
NA11843
NA11881
NA11882
NA11891
NA11892
NA11893
NA11894
NA11917
NA11918
NA11919
NA11920
NA11930
NA11931
NA11932
NA11933
