Individual ID
NA06984
NA12347
NA06986
NA07051
NA12340
NA10847
NA06994
NA06985
NA10851
NA07347
NA12043
NA11881
NA11840
NA11829
NA12383
NA12399
NA12413
NA12716
NA11992
NA12234
NA11892
NA12154
NA12249
NA12272
NA12003
NA12286
NA12282
NA11918
NA11930
NA11932
NA12748
NA12760
NA12775
NA12812
NA12827
NA12842
NA12872
NA12878
